('She', 'PRP')
('Exiled', 'VBD')
('Garden', 'NNP')
('At', 'IN')
('words', 'NNS')
('King', 'VBG')
('mad', 'JJ')
('rage', 'NN')
('.', '.')
('``', '``')
('Wicked', 'VBD')
('imbecile', 'NN')
('!', '.')
("''", "''")
('cried', 'VBN')
(',', ',')
('``', '``')
('diabolical', 'JJ')
('suggestions', 'NNS')
('dare', 'VBP')
('make', 'VB')
('presence', 'NN')
('?', '.')
("''", "''")
('Without', 'IN')
('ado', 'NN')
('called', 'VBN')
('Ho', 'NNP')
("T'ao", 'NNP')
(',', ',')
('day', 'NN')
('officer', 'NN')
('palace', 'NN')
('guard', 'NN')
('.', '.')
('When', 'WRB')
('arrived', 'VBN')
('kneeled', 'VBD')
('receive', 'JJ')
('King', 'NNP')
("'s", 'POS')
('commands', 'NNS')
(',', ',')
('latter', 'NN')
('said', 'VBD')
(':', ':')
('``', '``')
('This', 'DT')
('wicked', 'JJ')
('nun', 'NN')
('dishonours', 'NNS')
('.', '.')
('Take', 'VB')
('Court', 'NNP')
('robes', 'NNS')
(',', ',')
('drive', 'JJ')
('presence', 'NN')
('.', '.')
('Take', 'NNP')
('Queen', 'NNP')
("'s", 'POS')
('garden', 'NN')
(',', ',')
('let', 'VB')
('perish', 'JJ')
('cold', 'NN')
(':', ':')
('one', 'CD')
('care', 'NN')
('less', 'RBR')
('troubled', 'JJ')
('heart', 'NN')
('.', '.')
("''", "''")
('Miao', 'NNP')
('Shan', 'NNP')
('fell', 'VBD')
('face', 'NN')
('thanked', 'VBD')
('King', 'NNP')
(',', ',')
('went', 'VBD')
('officer', 'NN')
('Queen', 'NNP')
("'s", 'POS')
('garden', 'NN')
(',', ',')
('began', 'VBD')
('lead', 'JJ')
('retired', 'JJ')
('hermit', 'NN')
('life', 'NN')
(',', ',')
('moon', 'NN')
('companion', 'NN')
('wind', 'NN')
('friend', 'NN')
(',', ',')
('content', 'JJ')
('see', 'NN')
('obstacles', 'NNS')
('overthrown', 'RP')
('way', 'NN')
('Nirvana', 'NNP')
(',', ',')
('highest', 'JJS')
('state', 'NN')
('spiritual', 'JJ')
('bliss', 'NN')
(',', ',')
('glad', 'JJ')
('exchange', 'NN')
('pleasures', 'NNS')
('palace', 'VBP')
('sweetness', 'JJ')
('solitude', 'NN')
('.', '.')
