('Two', 'CD')
('Tribes', 'NNP')
('War', 'NNP')
('In', 'IN')
('early', 'JJ')
('times', 'NNS')
('Chief', 'JJ')
('Chinese', 'JJ')
('tribe', 'NN')
('(', '(')
('another', 'DT')
('version', 'NN')
('says', 'VBZ')
('Emperor', 'NNP')
('China', 'NNP')
(')', ')')
('war', 'NN')
('Chief', 'NNP')
('another', 'DT')
('tribe', 'NN')
('came', 'VBD')
('attack', 'RB')
('territory', 'JJ')
('west', 'NN')
('.', '.')
('The', 'DT')
('Western', 'JJ')
('Chief', 'NNP')
('badly', 'RB')
('defeated', 'VBD')
('Chinese', 'JJ')
('army', 'NN')
('none', 'NN')
('generals', 'NNS')
('soldiers', 'NNS')
('could', 'MD')
('induced', 'VB')
('renew', 'JJ')
('hostilities', 'NNS')
('endeavour', 'VBP')
('drive', 'NN')
('enemy', 'NN')
('back', 'RB')
('country', 'NN')
('.', '.')
('This', 'DT')
('distressed', 'JJ')
('Chinese', 'JJ')
('Chief', 'NNP')
('much', 'JJ')
('.', '.')
('As', 'IN')
('last', 'JJ')
('resort', 'NN')
('issued', 'VBD')
('proclamation', 'NN')
('promising', 'VBG')
('daughter', 'NN')
('marriage', 'NN')
('anyone', 'NN')
('would', 'MD')
('bring', 'VB')
('head', 'NN')
('enemy', 'NN')
(',', ',')
('Chief', 'NNP')
('West', 'NNP')
('.', '.')
