('WHY', 'WRB')
('THE', 'DT')
('STORK', 'NNP')
('LOVES', 'NNP')
('HOLLAND', 'NNP')
('Above', 'NNP')
('countries', 'NNS')
('Europe', 'NNP')
(',', ',')
('bird', 'NN')
(',', ',')
('wise', 'JJ')
('head', 'NN')
('long', 'RB')
('legs', 'JJ')
(',', ',')
('loves', 'VBZ')
('Holland', 'NNP')
('.', '.')
('Flying', 'VBG')
('way', 'NN')
('Africa', 'NNP')
(',', ',')
('stork', 'NN')
('home', 'NN')
('among', 'IN')
('dykes', 'JJ')
('windmills', 'NNS')
('.', '.')
('Storks', 'NNS')
('seen', 'VBN')
('thousands', 'NNS')
('Holland', 'NNP')
('Friesland', 'NNP')
('.', '.')
('Sometimes', 'RB')
('strut', 'JJ')
('streets', 'NNS')
(',', ',')
('least', 'JJS')
('frightened', 'JJ')
('disturbed', 'NN')
('.', '.')
('They', 'PRP')
('make', 'VBP')
('nests', 'NNS')
('among', 'IN')
('tiles', 'NNS')
('chimneys', 'NNS')
(',', ',')
('red', 'JJ')
('roofs', 'NN')
('houses', 'NNS')
(',', ',')
('rear', 'VBP')
('young', 'JJ')
('even', 'RB')
('church', 'NN')
('towers', 'NNS')
('.', '.')
('If', 'IN')
('man', 'NN')
('sets', 'VBZ')
('old', 'JJ')
('cart', 'NN')
('wheel', 'NN')
('flat', 'JJ')
('tree-top', 'NN')
(',', ',')
('storks', 'VBZ')
('accept', 'RB')
(',', ',')
('invitation', 'NN')
('come', 'VBN')
('stay', 'NN')
('.', '.')
('At', 'IN')
('proceed', 'NN')
(',', ',')
('first', 'RB')
(',', ',')
('arrange', 'NN')
('toilet', 'NN')
(',', ',')
('long', 'JJ')
('flight', 'NN')
('.', '.')
('They', 'PRP')
(',', ',')
('even', 'RB')
('build', 'VB')
('nest', 'JJS')
('.', '.')
('You', 'PRP')
('see', 'VBP')
(',', ',')
('hour', 'NN')
(',', ',')
('preening', 'VBG')
('feathers', 'NNS')
('combing', 'VBG')
('plumage', 'NN')
(',', ',')
('long', 'JJ')
('bills', 'NNS')
('.', '.')
('Then', 'RB')
(',', ',')
('solemnly', 'RB')
('boss', 'IN')
('mason', 'NN')
(',', ',')
('set', 'VBN')
('gathering', 'NN')
('sticks', 'NNS')
('hay', 'VBP')
('house', 'NN')
('.', '.')
('They', 'PRP')
('never', 'RB')
('seem', 'VBP')
('hurry', 'NN')
('.', '.')
('A', 'DT')
('stork', 'NN')
('lays', 'VBZ')
('bit', 'RB')
('wood', 'JJ')
(',', ',')
('goes', 'VBZ')
('toilet', 'NN')
(',', ',')
('looking', 'VBG')
('around', 'IN')
('see', 'JJ')
('folks', 'NNS')
('busy', 'JJ')
('.', '.')
('Year', 'JJ')
('year', 'NN')
(',', ',')
('pair', 'NN')
('storks', 'NNS')
('use', 'VBP')
('nest', 'JJS')
(',', ',')
('rebuilding', 'VBG')
(',', ',')
('repairing', 'VBG')
(',', ',')
('spring', 'NN')
('time', 'NN')
('.', '.')
('The', 'DT')
('stork', 'NN')
('steady', 'JJ')
('citizen', 'NN')
('like', 'IN')
('change', 'NN')
('.', '.')
('Once', 'RB')
('treated', 'VBN')
('well', 'RB')
('one', 'CD')
('place', 'NN')
(',', ',')
('landlord', 'NN')
(',', ',')
('Mr.', 'NNP')
('Mrs.', 'NNP')
('Stork', 'NNP')
('keep', 'VB')
('apartments', 'NNS')
('watch', 'VB')
('family', 'NN')
('cradle', 'VB')
('inside', 'IN')
('house', 'NN')
(',', ',')
('see', 'VBP')
('always', 'RB')
('occupied', 'VBN')
('baby', 'NN')
('.', '.')
('The', 'DT')
('return', 'NN')
('stork', 'NN')
(',', ',')
('Holland', 'NNP')
(',', ',')
('household', 'NN')
('celebration', 'NN')
('.', '.')
('Out', 'IN')
('fields', 'NNS')
(',', ',')
('Mr.', 'NNP')
('Stork', 'NNP')
('happy', 'JJ')
('indeed', 'RB')
(',', ',')
('Holland', 'NNP')
('paradise', 'NN')
('frogs', 'NNS')
(';', ':')
('gentleman', 'NN')
('red', 'VBD')
('legs', 'JJ')
('finds', 'NNS')
('plenty', 'JJ')
('eat', 'NN')
('.', '.')
('He', 'PRP')
('takes', 'VBZ')
('time', 'NN')
('going', 'VBG')
('dinner', 'NN')
(',', ',')
('rarely', 'RB')
('rushes', 'VBZ')
('quick', 'JJ')
('lunch', 'NN')
('.', '.')
('After', 'IN')
('business', 'NN')
('hours', 'NNS')
('morning', 'NN')
(',', ',')
('lays', 'VBZ')
('long', 'RB')
('beak', 'JJ')
('among', 'IN')
('thick', 'JJ')
('breast', 'NN')
('feathers', 'NNS')
(',', ',')
('quite', 'RB')
('hidden', 'JJ')
('.', '.')
('Then', 'RB')
(',', ',')
('perched', 'VBD')
('air', 'NN')
('one', 'CD')
('long', 'JJ')
('leg', 'NN')
(',', ',')
('like', 'IN')
('stilt', 'NN')
(',', ',')
('takes', 'VBZ')
('nap', 'JJ')
(',', ',')
('often', 'RB')
('hours', 'NNS')
('.', '.')
('With', 'IN')
('leg', 'NN')
('crossed', 'VBN')
(',', ',')
('seems', 'VBZ')
('resting', 'VBG')
('figure', 'VB')
('four', 'CD')
('(', '(')
('4', 'CD')
(')', ')')
('.', '.')
('Towards', 'NNS')
('evening', 'VBG')
('shakes', 'NNS')
('wings', 'NNS')
(',', ',')
('flaps', 'NNS')
('twice', 'RB')
(',', ',')
('takes', 'VBZ')
('walk', 'NN')
(',', ',')
('never', 'RB')
('haste', 'NN')
('.', '.')
('Beginning', 'VBG')
('hunt', 'NN')
(',', ',')
('soon', 'RB')
('enough', 'JJ')
('frogs', 'NNS')
(',', ',')
('mice', 'NN')
(',', ',')
('grubs', 'NNS')
(',', ',')
('worms', 'NNS')
('insects', 'NNS')
('make', 'VBP')
('good', 'JJ')
('meal', 'NN')
('.', '.')
('It', 'PRP')
('bird', 'VBZ')
('feels', 'NNS')
('much', 'JJ')
('home', 'NN')
(',', ',')
('town', 'NN')
('country', 'NN')
(',', ',')
('making', 'VBG')
('part', 'NN')
('landscape', 'NN')
(',', ',')
('associate', 'VB')
('together', 'RB')
('Holland', 'NNP')
('stork', 'NN')
(',', ',')
('usually', 'RB')
('.', '.')
('The', 'DT')
('Dutch', 'NNP')
('proverb', 'NN')
('pictures', 'NNS')
('scene', 'NN')
(',', ',')
('common', 'JJ')
('.', '.')
('``', '``')
('In', 'IN')
('field', 'NN')
(',', ',')
('cow', 'JJ')
('eats', 'NNS')
('grass', 'VBP')
(';', ':')
('grayhound', 'NN')
('hunts', 'NNS')
('hare', 'VBP')
(';', ':')
('stork', 'NN')
('helps', 'VBZ')
('frogs', 'NNS')
('.', '.')
("''", "''")
('Indeed', 'RB')
(',', ',')
('stork', 'NN')
(',', ',')
('Holland', 'NNP')
('would', 'MD')
