('How', 'WRB')
('First', 'JJ')
('Head', 'NNP')
('Taken', 'NNP')
('One', 'NNP')
('day', 'NN')
('Moon', 'NNP')
(',', ',')
('woman', 'NN')
('named', 'VBN')
('Kabigat', 'NNP')
(',', ',')
('sat', 'VBD')
('yard', 'RB')
('making', 'VBG')
('large', 'JJ')
('copper', 'NN')
('pot', 'NN')
('.', '.')
('The', 'DT')
('copper', 'NN')
('still', 'RB')
('soft', 'JJ')
('pliable', 'JJ')
('like', 'IN')
('clay', 'NN')
(',', ',')
('woman', 'NN')
('squatted', 'VBD')
('ground', 'NN')
('heavy', 'JJ')
('pot', 'NN')
('knees', 'NNS')
('patted', 'VBD')
('shaped', 'JJ')
('.', '.')
('Now', 'RB')
('working', 'VBG')
('son', 'NN')
('Chal-chal', 'NNP')
(',', ',')
('Sun', 'NNP')
(',', ',')
('came', 'VBD')
('stopped', 'VBD')
('watch', 'NN')
('mould', 'NN')
('form', 'NN')
('.', '.')
('Against', 'NNP')
('inside', 'IN')
('jar', 'NN')
('pressed', 'VBN')
('stone', 'NN')
(',', ',')
('outside', 'JJ')
('wooden', 'NN')
('paddle', 'NN')
('dripping', 'VBG')
('water', 'NN')
('pounded', 'VBD')
('slapped', 'VBN')
('worked', 'JJ')
('bulges', 'NNS')
('formed', 'VBN')
('smooth', 'JJ')
('surface', 'NN')
('.', '.')
('The', 'DT')
('boy', 'NN')
('greatly', 'RB')
('interested', 'JJ')
('seeing', 'VBG')
('jar', 'NN')
('grow', 'NN')
('larger', 'JJR')
(',', ',')
('beautiful', 'JJ')
(',', ',')
('smoother', 'JJ')
('stroke', 'NN')
(',', ',')
('stood', 'VBD')
('still', 'RB')
('time', 'NN')
('.', '.')
('Suddenly', 'RB')
('Moon', 'NNP')
('looked', 'VBD')
('saw', 'JJ')
('watching', 'NN')
('.', '.')
('Instantly', 'RB')
('struck', 'VBN')
('paddle', 'NN')
(',', ',')
('cutting', 'VBG')
('head', 'NN')
('.', '.')
('Now', 'RB')
('Sun', 'NNP')
('near', 'IN')
(',', ',')
('knew', 'VBD')
('soon', 'RB')
('Moon', 'NNP')
('cut', 'VBD')
('son', 'NN')
("'s", 'POS')
('head', 'NN')
('.', '.')
('And', 'CC')
('hurrying', 'VBG')
('spot', 'NN')
(',', ',')
('put', 'VBD')
('boy', 'NN')
("'s", 'POS')
('head', 'NN')
('back', 'RB')
(',', ',')
('alive', 'JJ')
('.', '.')
('Then', 'RB')
('Sun', 'NNP')
('said', 'VBD')
('Moon', 'NNP')
(',', ',')
('``', '``')
('You', 'PRP')
('cut', 'VBD')
('son', 'NN')
("'s", 'POS')
('head', 'NN')
(',', ',')
('ever', 'RB')
('earth', 'VBP')
('people', 'NNS')
('cut', 'VBD')
("other's", 'JJ')
('heads', 'NNS')
('.', '.')
("''", "''")
