('WHAT', 'WP')
('HAPPENED', 'NNP')
('IN', 'NNP')
('THE', 'NNP')
('SNOW', 'NNP')
('QUEEN', 'NNP')
("'S", 'POS')
('PALACE', 'NNP')
('AND', 'CC')
('AFTERWARDS', 'NNP')
('The', 'DT')
('Palace', 'NNP')
('walls', 'NNS')
('made', 'VBD')
('drifted', 'VBN')
('snow', 'JJ')
(',', ',')
('windows', 'VBZ')
('doors', 'NNS')
('biting', 'VBG')
('winds', 'NNS')
('.', '.')
('There', 'EX')
('hundred', 'VBN')
('rooms', 'NNS')
(',', ',')
('shaped', 'VBD')
('snow', 'RB')
('drifted', 'VBN')
('.', '.')
('The', 'DT')
('biggest', 'JJS')
('one', 'CD')
('stretched', 'VBD')
('many', 'JJ')
('miles', 'NNS')
('.', '.')
('They', 'PRP')
('lighted', 'VBD')
('strongest', 'JJS')
('northern', 'JJ')
('lights', 'NNS')
('.', '.')
('All', 'DT')
('rooms', 'NNS')
('immensely', 'RB')
('big', 'JJ')
('empty', 'NNS')
(',', ',')
('glittering', 'VBG')
('iciness', 'NN')
('.', '.')
('There', 'EX')
('never', 'RB')
('gaiety', 'NN')
(';', ':')
('even', 'RB')
('much', 'RB')
('ball', 'VB')
('little', 'JJ')
('bears', 'NNS')
(',', ',')
('storms', 'NNS')
('might', 'MD')
('turned', 'VB')
('orchestra', 'JJ')
(',', ',')
('polar', 'JJ')
('bears', 'NNS')
('might', 'MD')
('walked', 'VB')
('hind', 'NN')
('legs', 'JJ')
('shown', 'VBN')
('grand', 'JJ')
('manners', 'NNS')
('.', '.')
('There', 'EX')
('never', 'RB')
('even', 'RB')
('little', 'JJ')
('game-playing', 'JJ')
('party', 'NN')
(',', ',')
('games', 'NNS')
("'touch", 'POS')
('last', 'JJ')
("'", "''")
("'the", 'POS')
('biter', 'NN')
('bit', 'NN')
("'", "''")
('--', ':')
(',', ',')
('even', 'RB')
('little', 'JJ')
('gossip', 'JJ')
('coffee', 'NN')
('cups', 'NNS')
('white', 'JJ')
('fox', 'JJ')
('misses', 'NNS')
('.', '.')
('Immense', 'NNP')
(',', ',')
('vast', 'NN')
(',', ',')
('cold', 'JJ')
('Snow', 'NNP')
('Queen', 'NNP')
("'s", 'POS')
('halls', 'NNS')
('.', '.')
('The', 'DT')
('northern', 'JJ')
('lights', 'NNS')
('came', 'VBD')
('went', 'VBD')
('regularity', 'NN')
('could', 'MD')
('count', 'VB')
('seconds', 'NNS')
('coming', 'VBG')
('going', 'VBG')
('.', '.')
('In', 'IN')
('midst', 'JJ')
('never-ending', 'JJ')
('snow-halls', 'NNS')
('frozen', 'JJ')
('lake', 'NN')
('.', '.')
('It', 'PRP')
('broken', 'VBD')
('surface', 'NN')
('thousand', 'NN')
('bits', 'NNS')
(',', ',')
('piece', 'RB')
('exactly', 'RB')
('like', 'IN')
('others', 'NNS')
('whole', 'VBP')
('formed', 'VBN')
('perfect', 'JJ')
('work', 'NN')
('art', 'NN')
('.', '.')
('The', 'DT')
('Snow', 'NNP')
('Queen', 'NNP')
('sat', 'VBD')
('middle', 'JJ')
('sat', 'JJ')
('home', 'NN')
('.', '.')
('She', 'PRP')
('said', 'VBD')
('sitting', 'VBG')
("'The", 'NNP')
('Mirror', 'NNP')
('Reason', 'NNP')
(',', ',')
("'", "''")
('best', 'JJS')
('one', 'CD')
('world', 'NN')
('.', '.')
('Little', 'JJ')
('Kay', 'NNP')
('blue', 'NN')
('cold', 'NN')
(',', ',')
('nay', 'NN')
(',', ',')
('almost', 'RB')
('black', 'JJ')
(';', ':')
('know', 'VB')
(',', ',')
('Snow', 'NNP')
('Queen', 'NNP')
('kissed', 'VBD')
('away', 'RB')
('icy', 'JJ')
('shiverings', 'NNS')
(',', ',')
('heart', 'NN')
('little', 'JJ')
('better', 'JJR')
