('HOW', 'WRB')
('THE', 'DT')
('FAIRIES', 'NNP')
('WORKED', 'NNP')
('MAGIC', 'NNP')
('Once', 'RB')
('little', 'JJ')
('Indian', 'JJ')
('girl', 'NN')
('sad', 'JJ')
('unhappy', 'JJ')
('.', '.')
('The', 'DT')
('Great', 'NNP')
('Spirit', 'NNP')
('taken', 'VBN')
('father', 'RB')
('mother', 'NN')
(',', ',')
('gone', 'VBN')
('live', 'JJ')
('relatives', 'NNS')
('want', 'VBP')
('.', '.')
('Often', 'NNP')
('went', 'VBD')
('sleep', 'JJ')
('hungry', 'NN')
(',', ',')
('scraps', 'NNS')
('food', 'NN')
('left', 'VBD')
('meal', 'NN')
('given', 'VBN')
('.', '.')
('One', 'CD')
('day', 'NN')
(',', ',')
('relatives', 'VBZ')
('little', 'JJ')
('girl', 'JJ')
('brought', 'VBN')
('fine', 'JJ')
('deer', 'NN')
('chase', 'NN')
(',', ',')
('made', 'VBN')
('ready', 'JJ')
('feast', 'NN')
('.', '.')
('They', 'PRP')
('told', 'VBD')
('girl', 'NN')
('get', 'NN')
('lodge', 'NN')
(',', ',')
('neither', 'CC')
('room', 'NN')
(',', ',')
('meat', 'NN')
('.', '.')
('The', 'DT')
('little', 'JJ')
('girl', 'NN')
('ran', 'VBD')
('hid', 'RB')
('great', 'JJ')
('field', 'NN')
('corn', 'NN')
('.', '.')
('There', 'EX')
('cried', 'VBN')
('aloud', 'NN')
('.', '.')
('Soon', 'RB')
('band', 'NN')
('strange', 'JJ')
('Little', 'NNP')
('People', 'NNP')
('gathered', 'VBD')
(',', ',')
('comfort', 'NN')
('.', '.')
('On', 'IN')
('sides', 'NNS')
(',', ',')
('folds', 'NNS')
('green', 'JJ')
('cornstalks', 'NNS')
('came', 'VBD')
('.', '.')
('They', 'PRP')
('stroked', 'VBD')
('head', 'NN')
(',', ',')
('wiped', 'VBD')
('tears', 'NNS')
('eyes', 'NNS')
(',', ',')
('said', 'VBD')
(',', ',')
('``', '``')
("Don't", 'NNP')
('cry', 'NN')
(',', ',')
('little', 'JJ')
('girl', 'NN')
('.', '.')
('We', 'PRP')
('take', 'VBP')
('care', 'NN')
('.', '.')
('You', 'PRP')
('shall', 'MD')
('come', 'VB')
('live', 'JJ')
('us', 'PRP')
('.', '.')
('We', 'PRP')
('make', 'VBP')
('feast', 'JJ')
('.', '.')
('We', 'PRP')
('know', 'VBP')
('sad', 'JJ')
(',', ',')
('read', 'JJ')
('thoughts', 'NNS')
('earth', 'JJ')
('children', 'NNS')
('.', '.')
('Come', 'NNP')
('us', 'PRP')
(',', ',')
('show', 'VBP')
('wonderful', 'JJ')
('things', 'NNS')
('ever', 'RB')
('seen', 'VBN')
('.', '.')
("''", "''")
('At', 'IN')
('little', 'JJ')
('girl', 'JJ')
('dried', 'VBN')
('tears', 'NNS')
(',', ',')
('smiled', 'VBD')
('kind', 'NN')
('Little', 'JJ')
('People', 'NNP')
('.', '.')
('``', '``')
('You', 'PRP')
('good', 'JJ')
(',', ',')
("''", "''")
('said', 'VBD')
('.', '.')
('``', '``')
('Who', 'WP')
('?', '.')
("''", "''")
('``', '``')
('We', 'PRP')
('Jo', 'NNP')
('gah', 'VBD')
('oh', 'UH')
(',', ',')
("''", "''")
('replied', 'VBD')
(',', ',')
('``', '``')
('Little', 'JJ')
('People', 'NNPS')
('.', '.')
('Come', 'NNP')
(',', ',')
('show', 'NN')
('.', '.')
("''", "''")
('Then', 'RB')
('slipped', 'VBD')
('winged', 'VBD')
('moccasins', 'NNS')
('upon', 'IN')
('feet', 'NNS')
('.', '.')
('They', 'PRP')
('wrapped', 'VBD')
('invisible', 'JJ')
('blanket', 'NN')
('put', 'VBD')
('magic', 'JJ')
('corn', 'NN')
('plume', 'NN')
('hair', 'NN')
(',', ',')
('next', 'JJ')
('moment', 'NN')
('flying', 'VBG')
('air', 'NN')
('.', '.')
('They', 'PRP')
('flew', 'VBD')
('ledge', 'NN')
('great', 'JJ')
('rocks', 'NNS')
('.', '.')
('At', 'IN')
('touch', 'JJ')
('Little', 'JJ')
('People', 'NNP')
(',', ',')
('rocks', 'NNS')
('opened', 'VBD')
(',', ',')
('passed', 'VBD')
('within', 'IN')
('.', '.')
('The', 'DT')
('girl', 'NN')
('found', 'VBD')
('beautiful', 'JJ')
('lodge', 'NN')
('.', '.')
('Kind', 'NNP')
('Jo', 'NNP')
('gah', 'NN')
('oh', 'NN')
('mothers', 'NNS')
('baking', 'VBG')
('cakes', 'NNS')
('roasting', 'VBG')
('meat', 'NN')
('.', '.')
('They', 'PRP')
('welcomed', 'VBD')
('girl', 'NN')
(',', ',')
('soon', 'RB')
('feast', 'JJ')
('spread', 'NN')
('honor', 'NN')
('.', '.')
('Now', 'RB')
('heart', 'NN')
('little', 'JJ')
('girl', 'JJ')
('light', 'NN')
('danced', 'VBD')
('joy', 'NN')
('.', '.')
('``', '``')
('What', 'WP')
('wonderful', 'JJ')
('people', 'NNS')
('!', '.')
('Can', 'MD')
('go', 'VB')
('anywhere', 'RB')
(',', ',')
('anything', 'NN')
('wish', 'JJ')
('?', '.')
("''", "''")
('``', '``')
('Yes', 'UH')
(',', ',')
("''", "''")
('said', 'VBD')
('little', 'JJ')
('chief', 'JJ')
(',', ',')
('``', '``')
('Jo', 'NNP')
('gah', 'NN')
('oh', 'RB')
('small', 'JJ')
(',', ',')
('great', 'JJ')
('.', '.')
('Come', 'NNP')
('us', 'PRP')
(',', ',')
('shall', 'MD')
('see', 'VB')
('.', '.')
("''", "''")
('Again', 'RB')
('flying', 'VBG')
('air', 'NN')
('.', '.')
('Soon', 'RB')
('reached', 'VBD')
('lodge', 'JJ')
('little', 'JJ')
('girl', 'NN')
('lived', 'VBD')
('.', '.')
('It', 'PRP')
('night', 'NN')
(',', ',')
('relatives', 'VBZ')
('asleep', 'RB')
(',', ',')
('could', 'MD')
('see', 'VB')
('deer', 'JJ')
('hung', 'NN')
('outside', 'IN')
('ready', 'JJ')
('feast', 'NN')
('.', '.')
('``', '``')
('Now', 'RB')
(',', ',')
("''", "''")
('said', 'VBD')
('Jo', 'NNP')
('gah', 'NN')
('oh', 'NN')
('chief', 'NN')
(',', ',')
('``', '``')
('call', 'VB')
('pack', 'NN')
('wolves', 'NNS')
('wood', 'VBD')
('yonder', 'NN')
(',', ',')
('fat', 'JJ')
('deer', 'NN')
('selfish', 'NN')
('feast', 'NN')
(',', ',')
('sunrise', 'NN')
('.', '.')
("''", "''")
('Now', 'RB')
('wolves', 'VBZ')
('seen', 'VBN')
('wood', 'NN')
('many', 'JJ')
('moons', 'NNS')
('.', '.')
('But', 'CC')
('call', 'NN')
('fairies', 'NNS')
(',', ',')
('pack', 'NN')
('sprang', 'NN')
(',', ',')
('ran', 'VBD')
('lodge', 'NN')
(',', ',')
('seized', 'VBD')
('deer', 'NN')
(',', ',')
('tore', 'RB')
('shreds', 'NNS')
('.', '.')
('Then', 'RB')
('disappeared', 'VBD')
('wood', 'NN')
('.', '.')
('The', 'DT')
('little', 'JJ')
('girl', 'NN')
("'s", 'POS')
('eyes', 'NNS')
('large', 'JJ')
('wonder', 'NN')
(',', ',')
('flew', 'VBD')
('back', 'RB')
('fairy', 'JJ')
('lodge', 'NN')
('rocks', 'NNS')
(',', ',')
('afraid', 'JJ')
('strange', 'JJ')
('Little', 'JJ')
('People', 'NNS')
('.', '.')
('She', 'PRP')
('happy', 'JJ')
('wished', 'VBD')
('might', 'MD')
('always', 'RB')
('live', 'VB')
('Jo', 'NNP')
('gah', 'NN')
('oh', 'NN')
('lodge', 'NN')
('.', '.')
('One', 'CD')
('morning', 'NN')
(',', ',')
('little', 'JJ')
('chief', 'NN')
('said', 'VBD')
(',', ',')
('``', '``')
('Today', 'NN')
('shall', 'MD')
('see', 'VB')
('wonders', 'NNS')
('.', '.')
("''", "''")
('This', 'DT')
('time', 'NN')
('tiny', 'JJ')
('canoe', 'NN')
('waiting', 'VBG')
('.', '.')
('They', 'PRP')
('stepped', 'VBD')
('sailed', 'VBN')
('river', 'NN')
('came', 'VBD')
('great', 'JJ')
('tree', 'NN')
('.', '.')
('``', '``')
('In', 'IN')
('tree', 'NN')
(',', ',')
("''", "''")
('said', 'VBD')
('little', 'JJ')
('chief', 'JJ')
(',', ',')
('``', '``')
('lives', 'VBZ')
('great', 'JJ')
(',', ',')
('black', 'JJ')
('bear', 'NN')
('.', '.')
('Every', 'DT')
('day', 'NN')
('comes', 'VBZ')
('door', 'RB')
('see', 'JJ')
('high', 'JJ')
('bear', 'NN')
('tree', 'NN')
('.', '.')
('I', 'PRP')
('make', 'VBP')
('door', 'JJ')
('fast', 'JJ')
('open', 'JJ')
('.', '.')
('A', 'DT')
('deep', 'JJ')
('sleep', 'NN')
('fall', 'NN')
('.', '.')
