('HOW', 'WRB')
('THE', 'DT')
('TURKEY', 'NNP')
('BUZZARD', 'NNP')
('GOT', 'NNP')
('HIS', 'NNP')
('SUIT', 'NNP')
('It', 'PRP')
('long', 'RB')
(',', ',')
('long', 'JJ')
('time', 'NN')
('ago', 'RB')
(',', ',')
('earth', 'NN')
('young', 'JJ')
('.', '.')
('Trees', 'NNS')
('flowers', 'NNS')
('growing', 'VBG')
('everywhere', 'RB')
(',', ',')
('birds', 'NNS')
('.', '.')
('One', 'CD')
('morning', 'NN')
('Great', 'NNP')
('Spirit', 'NNP')
('drew', 'VBD')
('back', 'RP')
('blanket', 'NN')
('door', 'NN')
('wigwam', 'NN')
('sky', 'NN')
('.', '.')
('He', 'PRP')
('looked', 'VBD')
('upon', 'IN')
('earth', 'NN')
('smiled', 'VBN')
(',', ',')
('saw', 'JJ')
('work', 'NN')
('good', 'JJ')
('.', '.')
('``', '``')
('Today', 'NN')
(',', ',')
("''", "''")
('thought', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('make', 'VBP')
('big', 'JJ')
('butterflies', 'NNS')
(',', ',')
('fly', 'VBP')
('among', 'IN')
('beautiful', 'JJ')
('trees', 'NNS')
('flowers', 'NNS')
('earth', 'VBP')
('.', '.')
('They', 'PRP')
('shall', 'MD')
('sing', 'VBG')
('fly', 'NN')
('.', '.')
("''", "''")
('Then', 'RB')
('Great', 'NNP')
('Spirit', 'NNP')
('spoke', 'VBD')
(',', ',')
('tree', 'JJ')
('tops', 'NNS')
('full', 'JJ')
('birds', 'NNS')
(',', ',')
('--', ':')
('feathers', 'NNS')
('.', '.')
('All', 'DT')
('day', 'NN')
('watched', 'VBD')
('fly', 'NN')
('listened', 'VBD')
('songs', 'NNS')
('.', '.')
('But', 'CC')
('naked', 'JJ')
('bodies', 'NNS')
('long', 'RB')
('legs', 'JJ')
('please', 'NN')
('.', '.')
('Before', 'IN')
('sun', 'NN')
('set', 'NN')
('made', 'VBD')
('feathered', 'JJ')
('suits', 'NNS')
(',', ',')
('every', 'DT')
('size', 'NN')
('color', 'NN')
(',', ',')
('cover', 'NN')
('.', '.')
('That', 'DT')
('night', 'NN')
(',', ',')
('birds', 'NNS')
('hid', 'VBP')
('heads', 'NNS')
('wings', 'NNS')
(',', ',')
('Great', 'NNP')
('Spirit', 'NNP')
('spoke', 'VBD')
('.', '.')
('He', 'PRP')
('told', 'VBD')
('feathered', 'VBN')
('suits', 'NNS')
('made', 'VBN')
(',', ',')
('suits', 'NNS')
('could', 'MD')
('found', 'VB')
('.', '.')
('A', 'DT')
('council', 'NN')
('called', 'VBN')
('next', 'JJ')
('day', 'NN')
