('HOW', 'WRB')
('THE', 'DT')
('WOMAN', 'NNP')
('OVERCAME', 'NNP')
('THE', 'NNP')
('BEAR', 'NNP')
('An', 'DT')
('Indian', 'JJ')
('woman', 'NN')
('built', 'VBD')
('wigwam', 'JJ')
('deep', 'JJ')
('wood', 'NN')
('.', '.')
('She', 'PRP')
('brave', 'VBP')
('woman', 'NN')
('.', '.')
('She', 'PRP')
('fear', 'VBP')
('.', '.')
('One', 'CD')
('night', 'NN')
(',', ',')
('heard', 'VBD')
('something', 'NN')
('coming', 'VBG')
('along', 'RB')
('trail', 'NN')
('.', '.')
('Thump', 'NNP')
(',', ',')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('came', 'VBD')
(',', ',')
('door', 'NN')
('wigwam', 'NN')
('.', '.')
('There', 'EX')
('rap', 'NN')
('.', '.')
('``', '``')
('Come', 'NNP')
(',', ',')
("''", "''")
('said', 'VBD')
('woman', 'NN')
(',', ',')
('one', 'CD')
('entered', 'VBD')
('.', '.')
('Again', 'RB')
('came', 'VBD')
('rap', 'NN')
('.', '.')
('Again', 'NNP')
('woman', 'NN')
('called', 'VBD')
(',', ',')
('``', '``')
('Come', 'NNP')
('.', '.')
("''", "''")
('Again', 'NNP')
('latch', 'NN')
('lifted', 'VBD')
('.', '.')
('A', 'DT')
('third', 'JJ')
('time', 'NN')
('rap', 'NN')
('came', 'VBD')
('.', '.')
('A', 'DT')
('third', 'JJ')
('time', 'NN')
('woman', 'NN')
('called', 'VBN')
(',', ',')
('``', '``')
('Come', 'NNP')
(',', ',')
("''", "''")
('one', 'CD')
('entered', 'VBD')
('.', '.')
('Then', 'RB')
('strange', 'JJ')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('heard', 'RB')
('going', 'VBG')
('trail', 'NN')
('.', '.')
('The', 'DT')
('next', 'JJ')
('night', 'NN')
(',', ',')
('thing', 'NN')
('occurred', 'VBD')
('.', '.')
('Soon', 'RB')
('dark', 'NN')
(',', ',')
('woman', 'NN')
('heard', 'VBD')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('coming', 'VBG')
('along', 'RB')
('trail', 'NN')
('.', '.')
('Up', 'IN')
('door', 'NN')
('wigwam', 'NN')
('came', 'VBD')
('.', '.')
('Three', 'CD')
('times', 'NNS')
(',', ',')
('rap', 'NN')
(',', ',')
('rap', 'NN')
(',', ',')
('rap', 'NN')
(',', ',')
('heard', 'NN')
('.', '.')
('Three', 'CD')
('times', 'NNS')
('woman', 'NN')
('answered', 'VBD')
(',', ',')
('``', '``')
('Come', 'NNP')
(',', ',')
("''", "''")
('one', 'CD')
('entered', 'VBD')
('.', '.')
('Then', 'RB')
('strange', 'JJ')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('heard', 'RB')
('going', 'VBG')
('trail', 'NN')
('.', '.')
('The', 'DT')
('third', 'JJ')
('night', 'NN')
(',', ',')
('woman', 'NN')
('thought', 'VBD')
('would', 'MD')
('make', 'VB')
('sure', 'JJ')
('calling', 'VBG')
('.', '.')
('She', 'PRP')
('stood', 'VBD')
('long', 'JJ')
('time', 'NN')
(',', ',')
('hand', 'NN')
('latch', 'NN')
('.', '.')
('At', 'IN')
('last', 'JJ')
('heard', 'JJ')
('visitor', 'NN')
('coming', 'VBG')
('.', '.')
('Thump', 'NNP')
(',', ',')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('came', 'VBD')
('along', 'RB')
('trail', 'NN')
('.', '.')
('There', 'EX')
('three', 'CD')
('raps', 'NNS')
('.', '.')
('``', '``')
('Come', 'NNP')
(',', ',')
("''", "''")
('called', 'VBN')
('woman', 'NN')
(',', ',')
('latch', 'NN')
('move', 'NN')
('hand', 'NN')
('.', '.')
('She', 'PRP')
('waited', 'VBD')
('.', '.')
('Again', 'RB')
('came', 'VBD')
('raps', 'NNS')
('.', '.')
('This', 'DT')
('time', 'NN')
('threw', 'VBD')
('wide', 'JJ')
('open', 'JJ')
('door', 'NN')
(',', ',')
('stood', 'VBD')
('great', 'JJ')
('black', 'JJ')
('bear', 'NN')
('.', '.')
('He', 'PRP')
('showed', 'VBD')
('sharp', 'JJ')
('teeth', 'NNS')
('growled', 'VBD')
(',', ',')
('``', '``')
('Are', 'VBP')
('home', 'NN')
('?', '.')
("''", "''")
('The', 'DT')
('woman', 'NN')
('looked', 'VBD')
('straight', 'JJ')
('eye', 'NN')
('replied', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('home', 'VBP')
('.', '.')
("''", "''")
('At', 'IN')
('bear', 'NN')
('turned', 'VBD')
('heel', 'JJ')
('went', 'VBD')
('trail', 'NN')
(',', ',')
('fast', 'NN')
('could', 'MD')
('go', 'VB')
('.', '.')
('Never', 'RB')
('woman', 'NN')
('hear', 'JJ')
('strange', 'JJ')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(',', ',')
('thump', 'NN')
(';', ':')
('never', 'RB')
('bear', 'VBP')
('call', 'JJ')
('see', 'NN')
('home', 'NN')
('.', '.')
