('WHY', 'WRB')
('INDIANS', 'NNP')
('NEVER', 'NNP')
('SHOOT', 'NNP')
('PIGEONS', 'NNP')
('An', 'DT')
('Indian', 'JJ')
('hunter', 'NN')
('went', 'VBD')
('forest', 'JJS')
('search', 'NN')
('game', 'NN')
('.', '.')
('The', 'DT')
('forest', 'JJS')
('large', 'JJ')
('would', 'MD')
('taken', 'VBN')
('three', 'CD')
('days', 'NNS')
('journey', 'NN')
('.', '.')
('All', 'DT')
('day', 'NN')
('followed', 'VBD')
('track', 'NN')
('deer', 'NN')
(',', ',')
('arrows', 'VBZ')
('brought', 'VBN')
('food', 'NN')
('.', '.')
('At', 'IN')
('night', 'NN')
(',', ',')
('came', 'VBD')
('dark', 'JJ')
(',', ',')
('swift-running', 'JJ')
('stream', 'NN')
('.', '.')
('He', 'PRP')
('tired', 'VBD')
('hungry', 'JJ')
('.', '.')
('``', '``')
('Here', 'RB')
(',', ',')
("''", "''")
('said', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('lie', 'VBP')
('rest', 'JJ')
('sunrise', 'NN')
('.', '.')
("''", "''")
('He', 'PRP')
('began', 'VBD')
('search', 'JJ')
('bed', 'NN')
('pine', 'NN')
('needles', 'NNS')
(',', ',')
('Indian', 'JJ')
('loves', 'NNS')
('pine', 'VBP')
('tree', 'NN')
('.', '.')
('It', 'PRP')
('friend', 'VBP')
('day', 'NN')
('night', 'NN')
('.', '.')
('By', 'IN')
('day', 'NN')
('forest', 'JJS')
('guide', 'NN')
('.', '.')
('At', 'IN')
('night', 'NN')
('gives', 'VBZ')
('soft', 'JJ')
(',', ',')
('sweet-smelling', 'JJ')
('bed', 'NN')
('sleep', 'NN')
(',', ',')
('shields', 'NNS')
('storm', 'NN')
('.', '.')
('The', 'DT')
('hunter', 'NN')
('ran', 'VBD')
('along', 'RB')
('stream', 'NN')
('.', '.')
('It', 'PRP')
('dark', 'VBZ')
('.', '.')
('He', 'PRP')
('felt', 'VBD')
('soft', 'JJ')
('pine', 'NN')
('needles', 'NNS')
('moccasined', 'VBD')
('feet', 'NNS')
(',', ',')
('knotted', 'VBN')
('roots', 'NNS')
('trees', 'NNS')
('.', '.')
('Suddenly', 'RB')
('great', 'JJ')
('roots', 'NNS')
('oak', 'VBP')
('tree', 'JJ')
('reached', 'VBD')
('caught', 'NN')
('.', '.')
('He', 'PRP')
('could', 'MD')
('free', 'VB')
('foot', 'JJ')
('oak', 'NN')
("'s", 'POS')
('grasp', 'NN')
('.', '.')
('The', 'DT')
('sun', 'NN')
('rose', 'VBD')
('set', 'NN')
('.', '.')
('The', 'DT')
('great', 'JJ')
('tree', 'NN')
('still', 'RB')
('held', 'VBD')
('hunter', 'JJ')
('fast', 'NN')
('.', '.')
('He', 'PRP')
('weak', 'JJ')
('pain', 'NN')
('hunger', 'NN')
('.', '.')
('It', 'PRP')
('two', 'CD')
('days', 'NNS')
('since', 'IN')
('tasted', 'VBN')
('food', 'NN')
('.', '.')
('Four', 'CD')
('notches', 'NNS')
('cut', 'VBD')
('stick', 'JJ')
(',', ',')
('Indian', 'JJ')
('measures', 'NNS')
('time', 'NN')
('way', 'NN')
('.', '.')
('Each', 'DT')
('sunrise', 'NN')
('sunset', 'NN')
(',', ',')
('trail', 'NN')
(',', ',')
('marked', 'VBD')
('notch', 'RB')
('small', 'JJ')
('stick', 'NN')
('carries', 'VBZ')
('.', '.')
('Three', 'CD')
('times', 'NNS')
('sun', 'JJ')
('rise', 'NN')
('set', 'NN')
(',', ',')
('yet', 'RB')
('tree', 'JJ')
('let', 'NN')
('go', 'VB')
('hold', 'VB')
('.', '.')
('There', 'EX')
('ten', 'JJ')
('notches', 'NNS')
('stick', 'RB')
(',', ',')
('hunter', 'JJR')
('weak', 'JJ')
('could', 'MD')
('scarcely', 'RB')
('cut', 'VB')
('last', 'JJ')
('one', 'CD')
('.', '.')
('As', 'IN')
('sun', 'NN')
('rose', 'VBD')
('fifth', 'JJ')
('day', 'NN')
(',', ',')
('bird', 'NN')
('flew', 'VBD')
('tree', 'NN')
('.', '.')
('He', 'PRP')
('saw', 'VBD')
('hunter', 'RBR')
('lying', 'VBG')
('ground', 'NN')
(',', ',')
('came', 'VBD')
('close', 'JJ')
('spoke', 'NN')
('.', '.')
('The', 'DT')
('hunter', 'NN')
('understood', 'NN')
(',', ',')
('days', 'NNS')
('men', 'NNS')
('birds', 'NNS')
('could', 'MD')
('talk', 'VB')
('together', 'RB')
('.', '.')
('The', 'DT')
('bird', 'NN')
('asked', 'VBD')
('man', 'NN')
('could', 'MD')
(',', ',')
('hunter', 'RB')
('whispered', 'VBD')
(',', ',')
('``', '``')
('You', 'PRP')
('strong', 'JJ')
('.', '.')
('You', 'PRP')
('fly', 'VBP')
('long', 'RB')
('trail', 'NN')
('.', '.')
('Go', 'NNP')
('tell', 'VBP')
('chief', 'JJ')
('people', 'NNS')
('.', '.')
("''", "''")
('The', 'DT')
('bird', 'NN')
('flew', 'VBD')
('swiftly', 'RB')
('away', 'RB')
('message', 'NN')
('.', '.')
('He', 'PRP')
('wait', 'VBZ')
('sun', 'JJ')
('high', 'JJ')
('.', '.')
('He', 'PRP')
('stop', 'VBD')
('eat', 'NN')
('one', 'CD')
('berry', 'NN')
('one', 'CD')
('worm', 'NN')
('.', '.')
('He', 'PRP')
('fly', 'RB')
('high', 'JJ')
(',', ',')
('fly', 'RB')
('low', 'JJ')
('talk', 'NN')
('birds', 'NNS')
('.', '.')
('He', 'PRP')
('went', 'VBD')
('straight', 'JJ')
('people', 'NNS')
('hunter', 'VBP')
('told', 'VBN')
('.', '.')
('The', 'DT')
('West', 'NNP')
('Wind', 'NNP')
('tried', 'VBD')
('blow', 'JJ')
('back', 'RB')
('.', '.')
('A', 'DT')
('black', 'JJ')
('cloud', 'NN')
('came', 'VBD')
('frighten', 'RB')
(',', ',')
('went', 'VBD')
('.', '.')
('On', 'IN')
(',', ',')
(',', ',')
(',', ',')
('went', 'VBD')
('.', '.')
('Straight', 'NNP')
('wigwam', 'NN')
('chief', 'NN')
(',', ',')
('carried', 'VBD')
('message', 'NN')
('.', '.')
('The', 'DT')
('chief', 'NN')
('called', 'VBN')
('together', 'RB')
('young', 'JJ')
('men', 'NNS')
('fleet', 'JJ')
('foot', 'NN')
(',', ',')
('send', 'VBP')
('forth', 'JJ')
('find', 'VBP')
('lost', 'JJ')
('hunter', 'NN')
('.', '.')
('They', 'PRP')
('asking', 'VBG')
('chief', 'NN')
('trails', 'NNS')
('best', 'RB')
('take', 'VBP')
('.', '.')
('Before', 'IN')
('chief', 'NN')
('could', 'MD')
('reply', 'VB')
(',', ',')
('beautiful', 'JJ')
('dove-colored', 'JJ')
('bird', 'NN')
('flown', 'VBN')
('close', 'RB')
('ear', 'JJ')
('spoken', 'NN')
('soft', 'JJ')
(',', ',')
('low', 'JJ')
('tones', 'NNS')
('.', '.')
('The', 'DT')
('chief', 'NN')
('told', 'VBD')
('young', 'JJ')
('men', 'NNS')
('bird', 'NN')
('said', 'VBD')
(',', ',')
('set', 'VBN')
('trail', 'NN')
('bird', 'NN')
('named', 'VBN')
('.', '.')
('Before', 'IN')
('sunset', 'NN')
(',', ',')
('found', 'VBD')
('lost', 'VBN')
('hunter', 'NN')
('.', '.')
('Carefully', 'RB')
('freed', 'VBN')
('grasp', 'JJ')
('great', 'JJ')
('oak', 'NN')
('bore', 'NN')
('people', 'NNS')
('.', '.')
('That', 'DT')
('night', 'NN')
('feast', 'NN')
('dance', 'NN')
('honor', 'NN')
('.', '.')
('Ever', 'RB')
('since', 'IN')
(',', ',')
('Indians', 'NNPS')
('loved', 'VBD')
('birds', 'NNS')
('carry', 'NN')
('messages', 'NNS')
(',', ',')
('never', 'RB')
('shoot', 'NN')
('pigeon', 'NN')
('.', '.')
