('WHY', 'WRB')
('THE', 'DT')
('ICE', 'NNP')
('ROOF', 'NNP')
('FELL', 'NNP')
('A', 'NNP')
('great', 'JJ')
('many', 'JJ')
('winters', 'NNS')
('ago', 'RB')
(',', ',')
('lived', 'VBD')
('foot', 'NN')
('certain', 'JJ')
('lake', 'NN')
('tribe', 'NN')
('wicked', 'VBD')
('Indians', 'NNPS')
('.', '.')
('These', 'DT')
('Indians', 'NNPS')
('fierce', 'NN')
(',', ',')
('warlike', 'NN')
(',', ',')
('wasteful', 'NN')
(',', ',')
('went', 'VBD')
('destroying', 'VBG')
('everything', 'NN')
('.', '.')
('They', 'PRP')
('laid', 'VBD')
('low', 'JJ')
('tract', 'NN')
('beautiful', 'JJ')
('forest', 'NN')
('trees', 'NNS')
(',', ',')
('good', 'JJ')
('purpose', 'NN')
('.', '.')
('They', 'PRP')
('tore', 'VBP')
('shrubs', 'JJ')
('plants', 'NNS')
('gave', 'VBD')
('food', 'NN')
('medicine', 'NN')
('.', '.')
('They', 'PRP')
('shot', 'VBP')
('arrows', 'NNS')
('every', 'DT')
('bird', 'NN')
('animal', 'NN')
('saw', 'NN')
(',', ',')
('sport', 'NN')
('.', '.')
('The', 'DT')
('great', 'JJ')
('trees', 'NNS')
('--', ':')
('silent', 'JJ')
('brothers', 'NNS')
('wood', 'NN')
('--', ':')
('trembled', 'VBD')
('sighed', 'JJ')
('heard', 'NN')
('Indians', 'NNPS')
('coming', 'VBG')
('.', '.')
('The', 'DT')
('squirrels', 'NNS')
('darted', 'VBN')
('hollow', 'JJ')
('trees', 'NNS')
(',', ',')
('birds', 'NNS')
('flew', 'VBD')
('alarm', 'JJ')
('footsteps', 'NNS')
('.', '.')
('The', 'DT')
('deer', 'NN')
('rabbit', 'NN')
('ran', 'VBD')
('trail', 'NN')
('.', '.')
('At', 'IN')
('last', 'JJ')
('Great', 'NNP')
('Spirit', 'NNP')
('became', 'VBD')
('angry', 'JJ')
('tribe', 'NN')
('.', '.')
('Always', 'NNS')
('taught', 'VBD')
('Indians', 'NNPS')
('never', 'RB')
('kill', 'VB')
('animal', 'NN')
(',', ',')
('unless', 'IN')
('food', 'NN')
('protection', 'NN')
(';', ':')
('never', 'RB')
('fell', 'VBD')
('tree', 'RB')
(',', ',')
('unless', 'IN')
('fuel', 'NN')
('shelter', 'NN')
(';', ':')
('never', 'RB')
('dig', 'VBP')
('shrubs', 'JJ')
('plants', 'NNS')
(',', ',')
('unless', 'IN')
('good', 'JJ')
('use', 'NN')
('.', '.')
('``', '``')
('All', 'DT')
('life', 'NN')
(',', ',')
("''", "''")
('Great', 'NNP')
('Spirit', 'NNP')
('said', 'VBD')
(',', ',')
('``', '``')
('sacred', 'VBD')
('beautiful', 'JJ')
('.', '.')
('It', 'PRP')
('must', 'MD')
('wasted', 'VBN')
('.', '.')
("''", "''")
('And', 'CC')
('never', 'RB')
('known', 'VBN')
('Indians', 'NNPS')
('waste', 'NN')
('beautiful', 'JJ')
('living', 'JJ')
('things', 'NNS')
('.', '.')
('The', 'DT')
('Great', 'NNP')
('Spirit', 'NNP')
('sad', 'NN')
('.', '.')
('The', 'DT')
('ice', 'NN')
('formed', 'VBD')
('thick', 'JJ')
('lake', 'NN')
('winter', 'NN')
('.', '.')
('One', 'CD')
('night', 'NN')
(',', ',')
('came', 'VBD')
('great', 'JJ')
('storm', 'NN')
('wind', 'NN')
('rain', 'NN')
('.', '.')
('The', 'DT')
('ice', 'NN')
('broke', 'VBD')
('loose', 'JJ')
('shores', 'NNS')
(',', ',')
('wind', 'VBP')
('blew', 'JJ')
('lake', 'NN')
('.', '.')
('At', 'IN')
('foot', 'JJ')
('lake', 'NN')
(',', ',')
('mass', 'NN')
('ice', 'NN')
('piled', 'VBD')
('high', 'JJ')
('shore', 'NN')
(',', ',')
('lived', 'VBD')
('wasteful', 'JJ')
('Indians', 'NNPS')
('.', '.')
('Like', 'IN')
('giant', 'JJ')
('roof', 'NN')
(',', ',')
('ice', 'NN')
('spread', 'VBD')
('little', 'JJ')
('Indian', 'JJ')
('village', 'NN')
('lying', 'VBG')
('asleep', 'RB')
(',', ',')
('Indians', 'NNPS')
('know', 'VBP')
('.', '.')
('They', 'PRP')
('slept', 'VBD')
(',', ',')
('unaware', 'JJ')
('danger', 'NN')
(',', ',')
('deep', 'JJ')
(',', ',')
('heavy', 'JJ')
('sleep', 'NN')
('come', 'VBN')
('upon', 'IN')
('.', '.')
('Just', 'RB')
('sun', 'NN')
('rose', 'VBD')
(',', ',')
('ice', 'JJ')
('roof', 'NNS')
('gave', 'VBD')
('way', 'NN')
('fell', 'VBD')
('upon', 'IN')
('sleeping', 'VBG')
('Indians', 'NNPS')
(',', ',')
('crushing', 'VBG')
('wigwams', 'NNS')
('.', '.')
('The', 'DT')
('waste', 'NN')
('brought', 'VBD')
('upon', 'IN')
('brothers', 'NNS')
('wood', 'VBD')
('brought', 'JJ')
('punishment', 'NN')
('upon', 'NN')
('.', '.')
('The', 'DT')
('Great', 'NNP')
('Spirit', 'NNP')
('destroyed', 'VBD')
('wicked', 'JJ')
('Indians', 'NNPS')
(',', ',')
('good', 'JJ')
('Indians', 'NNPS')
('might', 'MD')
('keep', 'VB')
('world', 'NN')
('beautiful', 'NN')
('.', '.')
('Ever', 'RB')
(',', ',')
('long', 'JJ')
('Indians', 'NNPS')
('occupied', 'JJ')
('country', 'NN')
(',', ',')
('White', 'NNP')
('man', 'NN')
('came', 'VBD')
(',', ',')
('trees', 'NNS')
('felled', 'VBD')
(',', ',')
('animals', 'NNS')
('birds', 'NNS')
('killed', 'VBN')
(',', ',')
('unless', 'IN')
('wise', 'NN')
('useful', 'JJ')
('purpose', 'NN')
('.', '.')
