('WHY', 'WRB')
('THE', 'DT')
('PARTRIDGE', 'NNP')
('DRUMS', 'NNP')
('It', 'PRP')
('Great', 'NNP')
('Spirit', 'NNP')
('made', 'VBD')
('beautiful', 'JJ')
('birds', 'NNS')
(',', ',')
('Evil', 'NNP')
('Spirit', 'NNP')
('came', 'VBD')
('along', 'RB')
('.', '.')
('He', 'PRP')
('saw', 'VBD')
('beautiful', 'JJ')
('birds', 'NNS')
('heard', 'VBN')
('beautiful', 'JJ')
('songs', 'NNS')
('.', '.')
('He', 'PRP')
('saw', 'VBD')
('earth', 'JJ')
('people', 'NNS')
('liked', 'VBD')
('birds', 'NNS')
('liked', 'VBN')
('hear', 'JJ')
('sing', 'NN')
('.', '.')
('Now', 'RB')
('Evil', 'NNP')
('Spirit', 'NNP')
('wish', 'JJ')
('people', 'NNS')
('happy', 'JJ')
(',', ',')
('said', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('make', 'VBP')
('bird', 'JJ')
('make', 'NN')
('people', 'NNS')
('afraid', 'VBP')
('.', '.')
('I', 'PRP')
('make', 'VBP')
('big', 'JJ')
('bird', 'NN')
('sing', 'NN')
(',', ',')
('make', 'VBP')
('great', 'JJ')
('noise', 'NN')
('.', '.')
("''", "''")
('So', 'RB')
('Evil', 'NNP')
('Spirit', 'NNP')
('went', 'VBD')
('work', 'NN')
('.', '.')
('In', 'IN')
('short', 'JJ')
('time', 'NN')
('made', 'VBD')
('big', 'JJ')
('bird', 'NN')
(',', ',')
('could', 'MD')
('sing', 'VB')
(',', ',')
('could', 'MD')
('drum', 'VB')
('.', '.')
('The', 'DT')
('big', 'JJ')
('bird', 'NN')
('flew', 'VBD')
('away', 'RB')
('wood', 'NN')
('.', '.')
('That', 'DT')
('night', 'NN')
('drumming', 'VBG')
('noise', 'RB')
('heard', 'VBN')
('wood', 'NN')
('.', '.')
('The', 'DT')
('people', 'NNS')
('afraid', 'VBP')
('.', '.')
('They', 'PRP')
('could', 'MD')
('sleep', 'VB')
(',', ',')
('noise', 'NN')
('.', '.')
('In', 'IN')
('morning', 'NN')
(',', ',')
('went', 'VBD')
('woods', 'NNS')
('search', 'NN')
('noise', 'NN')
('.', '.')
('Deep', 'JJ')
('forest', 'NN')
('could', 'MD')
('still', 'RB')
('heard', 'VB')
('strange', 'JJ')
('drumming', 'NN')
('.', '.')
('They', 'PRP')
('followed', 'VBD')
(',', ',')
('came', 'VBD')
('deep', 'RB')
(',', ',')
('dark', 'JJ')
('place', 'NN')
('woods', 'NNS')
('.', '.')
('There', 'EX')
('loud', 'JJ')
('fluttering', 'NN')
('whirring', 'VBG')
('wings', 'NNS')
(',', ',')
('great', 'JJ')
('bird', 'NN')
('flew', 'VBD')
('among', 'IN')
(',', ',')
('along', 'IN')
('ground', 'NN')
('trees', 'NNS')
('.', '.')
('The', 'DT')
('people', 'NNS')
('afraid', 'VBP')
('.', '.')
('They', 'PRP')
('called', 'VBD')
('Great', 'NNP')
('Spirit', 'NNP')
('help', 'NN')
('.', '.')
('The', 'DT')
('Great', 'NNP')
('Spirit', 'NNP')
('near', 'IN')
('.', '.')
('He', 'PRP')
('heard', 'VBD')
('cry', 'NN')
(',', ',')
('went', 'VBD')
('bird', 'NN')
(',', ',')
('angry', 'JJ')
('.', '.')
('The', 'DT')
('Great', 'NNP')
('Spirit', 'NNP')
('said', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('people', 'NNS')
('frightened', 'VBD')
('great', 'JJ')
('bird', 'NN')
(';', ':')
('shall', 'MD')
('die', 'VB')
('.', '.')
("''", "''")
('The', 'DT')
('big', 'JJ')
('bird', 'NN')
('gave', 'VBD')
('Great', 'NNP')
('Spirit', 'NNP')
('long', 'JJ')
('chase', 'NN')
('.', '.')
('At', 'IN')
('last', 'JJ')
('Great', 'NNP')
('Spirit', 'NNP')
('came', 'VBD')
('upon', 'RB')
