('WHY', 'WRB')
('THE', 'DT')
('WOODPECKER', 'NNP')
('BORES', 'NNP')
('FOR', 'NNP')
('ITS', 'NNP')
('FOOD', 'NNP')
('Once', 'NNP')
('upon', 'IN')
('time', 'NN')
(',', ',')
('Great', 'NNP')
('Spirit', 'NNP')
('left', 'VBD')
('Happy', 'JJ')
('Hunting', 'NNP')
('Ground', 'NNP')
('came', 'VBD')
('earth', 'NN')
('.', '.')
('He', 'PRP')
('took', 'VBD')
('form', 'NN')
('poor', 'JJ')
(',', ',')
('hungry', 'JJ')
('man', 'NN')
('.', '.')
('He', 'PRP')
('went', 'VBD')
('wigwam', 'JJ')
('wigwam', 'NN')
(',', ',')
('asking', 'VBG')
('food', 'NN')
('.', '.')
('Sometimes', 'RB')
('found', 'VBN')
('Indians', 'NNPS')
('sitting', 'VBG')
('around', 'RB')
('fire', 'NN')
(',', ',')
('telling', 'VBG')
('stories', 'NNS')
('talking', 'VBG')
('Great', 'NNP')
('Spirit', 'NNP')
('.', '.')
('Then', 'RB')
('man', 'NN')
('would', 'MD')
('pass', 'VB')
('unseen', 'JJ')
('.', '.')
('One', 'CD')
('day', 'NN')
(',', ',')
('came', 'VBD')
('wigwam', 'JJ')
('woman', 'NN')
('baking', 'VBG')
('cakes', 'NNS')
('.', '.')
('``', '``')
('I', 'PRP')
('hungry', 'VBP')
(',', ',')
("''", "''")
('man', 'NN')
('said', 'VBD')
('.', '.')
('``', '``')
('Will', 'MD')
('please', 'VB')
('give', 'VB')
('cake', 'NN')
('?', '.')
("''", "''")
('The', 'DT')
('woman', 'NN')
('looked', 'VBD')
('man', 'NN')
(',', ',')
('cake', 'NN')
('.', '.')
('She', 'PRP')
('saw', 'VBD')
('large', 'JJ')
('give', 'VB')
('away', 'RP')
('.', '.')
('She', 'PRP')
('said', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('give', 'VBP')
('cake', 'NN')
(',', ',')
('I', 'PRP')
('bake', 'VBP')
('one', 'CD')
(',', ',')
('wait', 'NN')
('.', '.')
("''", "''")
('The', 'DT')
('hungry', 'JJ')
('man', 'NN')
('said', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('wait', 'VBP')
('.', '.')
("''", "''")
('Then', 'RB')
('woman', 'NN')
('took', 'VBD')
('small', 'JJ')
('piece', 'NN')
('dough', 'IN')
('made', 'VBN')
('cake', 'NN')
('baked', 'NNS')
('.', '.')
('But', 'CC')
('took', 'VBD')
('cake', 'NN')
('coals', 'NNS')
(',', ',')
('larger', 'JJR')
('first', 'RB')
('.', '.')
('Again', 'NNP')
('woman', 'NN')
('looked', 'VBD')
('cake', 'NN')
('.', '.')
('Again', 'NNP')
('saw', 'VBD')
('large', 'JJ')
('give', 'VB')
('away', 'RP')
('.', '.')
('Again', 'NNP')
('said', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('give', 'VBP')
('one', 'CD')
(',', ',')
('I', 'PRP')
('bake', 'VBP')
('one', 'CD')
(',', ',')
('wait', 'NN')
('.', '.')
("''", "''")
('Again', 'NNP')
('man', 'NN')
('said', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('wait', 'VBP')
('.', '.')
("''", "''")
('This', 'DT')
('time', 'NN')
('woman', 'NN')
('took', 'VBD')
(',', ',')
(',', ',')
('tiny', 'JJ')
('bit', 'NN')
('dough', 'JJ')
(',', ',')
('made', 'VBD')
('cake', 'NN')
('.', '.')
('``', '``')
('Surely', 'RB')
(',', ',')
('small', 'JJ')
('enough', 'RB')
('give', 'VBP')
('away', 'RB')
(',', ',')
("''", "''")
('thought', 'NN')
(',', ',')
('yet', 'RB')
('baked', 'VBN')
('larger', 'JJR')
('others', 'NNS')
('.', '.')
('The', 'DT')
('woman', 'NN')
('stood', 'VBD')
('looked', 'VBD')
('three', 'CD')
('cakes', 'NNS')
('.', '.')
('Each', 'DT')
('large', 'JJ')
('give', 'VB')
('away', 'RP')
('.', '.')
('``', '``')
('I', 'PRP')
('give', 'VBP')
('cakes', 'NNS')
(',', ',')
("''", "''")
('said', 'VBD')
