('How', 'WRB')
('Beggars', 'NNS')
('Came', 'VBP')
('Town', 'NNP')
('Hark', 'NNP')
(',', ',')
('hark', 'NN')
(',', ',')
('dogs', 'NNS')
('bark', 'NN')
(',', ',')
('The', 'DT')
('beggars', 'NNS')
('coming', 'VBG')
('town', 'NN')
(':', ':')
('Some', 'DT')
('rags', 'NNS')
(',', ',')
('tags', 'NNS')
(',', ',')
('And', 'CC')
('velvet', 'RB')
('gown', 'NN')
('.', '.')
('VERY', 'RB')
('fair', 'JJ')
('sweet', 'JJ')
('little', 'JJ')
('Prince', 'NNP')
('Lilimond', 'NNP')
(',', ',')
('could', 'MD')
('resist', 'VB')
('soft', 'JJ')
(',', ',')
('pleading', 'JJ')
('voice', 'NN')
('gentle', 'JJ')
('blue', 'JJ')
('eyes', 'NNS')
('.', '.')
('And', 'CC')
('stood', 'VBD')
('presence', 'NN')
('King', 'NNP')
(',', ',')
('father', 'NN')
(',', ',')
('bent', 'JJ')
('knee', 'NN')
('gracefully', 'RB')
('His', 'PRP$')
('Majesty', 'NNP')
(',', ',')
('act', 'NN')
('courteous', 'JJ')
('dignified', 'VBN')
('would', 'MD')
('honored', 'VB')
('oldest', 'JJS')
('nobleman', 'JJ')
('court', 'NN')
('.', '.')
('The', 'DT')
('King', 'NNP')
('delighted', 'VBD')
(',', ',')
('time', 'NN')
('sat', 'VBD')
('silently', 'RB')
('regarding', 'VBG')
('son', 'NN')
('noting', 'VBG')
('every', 'DT')
('detail', 'NN')
('appearance', 'NN')
(',', ',')
('dark', 'JJ')
('velvet', 'NN')
('suit', 'NN')
('dainty', 'NN')
('ruffles', 'NNS')
('collar', 'VBP')
('diamond', 'NN')
('buckles', 'NNS')
('little', 'RB')
('shoes', 'NNS')
(',', ',')
('back', 'RB')
('flowing', 'VBG')
('curls', 'NN')
('clustered', 'VBD')
('thick', 'JJ')
('bright', 'NN')
(',', ',')
('childish', 'JJ')
('face', 'NN')
('.', '.')
('Well', 'RB')
('might', 'MD')
('father', 'VB')
('proud', 'JJ')
('manly', 'RB')
('beautiful', 'JJ')
('child', 'NN')
(',', ',')
('King', 'NNP')
("'s", 'POS')
('heart', 'NN')
('swelled', 'VBD')
('within', 'IN')
('gazed', 'VBN')
('upon', 'IN')
('heir', 'NN')
('.', '.')
('``', '``')
('Borland', 'NNP')
(',', ',')
("''", "''")
('said', 'VBD')
('tutor', 'NN')
(',', ',')
('stood', 'VBD')
('modestly', 'RB')
('behind', 'IN')
('Prince', 'NNP')
(',', ',')
("''", "''")
('may', 'MD')
('retire', 'VB')
('.', '.')
('I', 'PRP')
('wish', 'VBP')
('speak', 'JJ')
('privately', 'RB')
('royal', 'JJ')
('highness', 'NN')
('.', '.')
("''", "''")
('The', 'DT')
('tutor', 'NN')
('bowed', 'VBD')
('low', 'JJ')
('disappeared', 'VBD')
('within', 'IN')
('ante-room', 'NN')
(',', ',')
('King', 'NNP')
('continued', 'VBD')
(',', ',')
('kindly', 'RB')
(',', ',')
("''", "''")
('Come', 'NNP')
(',', ',')
('Lilimond', 'NNP')
(',', ',')
('sit', 'NN')
('beside', 'NN')
('.', '.')
('Methinks', 'NNS')
('seem', 'VBP')
('over-grave', 'JJ')
('morning', 'NN')
('.', '.')
("''", "''")
('``', '``')
('It', 'PRP')
('birthday', 'RB')
(',', ',')
('Your', 'NNP')
('Majesty', 'NNP')
(',', ',')
("''", "''")
('replied', 'VBD')
('Prince', 'NNP')
(',', ',')
('slowly', 'RB')
('obeyed', 'VBN')
('father', 'NN')
('sat', 'VBD')
('beside', 'IN')
('upon', 'IN')
('rich', 'JJ')
('broidered', 'VBD')
('cushions', 'NNS')
('throne', 'NN')
('.', '.')
('``', '``')
('I', 'PRP')
('twelve', 'VBP')
('years', 'NNS')
('age', 'NN')
('.', '.')
("''", "''")
('``', '``')
('So', 'RB')
('old', 'JJ')
('!', '.')
("''", "''")
('said', 'VBD')
('King', 'NNP')
(',', ',')
('smiling', 'VBG')
('little', 'JJ')
('face', 'NN')
('raised', 'VBN')
('.', '.')
('``', '``')
('And', 'CC')
('weight', 'JJ')
('years', 'NNS')
('makes', 'VBZ')
('sad', 'NN')
('?', '.')
("''", "''")
('``', '``')
('No', 'UH')
(',', ',')
('Your', 'PRP$')
('Majesty', 'NNP')
(';', ':')
('I', 'PRP')
('long', 'VBP')
('years', 'NNS')
('pass', 'NN')
(',', ',')
('I', 'PRP')
('may', 'MD')
('become', 'VB')
('man', 'NN')
(',', ',')
('take', 'VB')
('part', 'NN')
('world', 'NN')
("'s", 'POS')
('affairs', 'NNS')
('.', '.')
('It', 'PRP')
('sad', 'JJ')
('condition', 'NN')
('country', 'NN')
('troubles', 'NNS')
('.', '.')
("''", "''")
('``', '``')
('Indeed', 'RB')
('!', '.')
("''", "''")
('exclaimed', 'VBN')
('King', 'NNP')
(',', ',')
('casting', 'VBG')
('keen', 'JJ')
('glance', 'NN')
('son', 'NN')
('.', '.')
('``', '``')
('Are', 'VBP')
('becoming', 'VBG')
('interested', 'JJ')
('politics', 'NNS')
(',', ',')
(';', ':')
('grievous', 'JJ')
('breach', 'NN')
('court', 'NN')
('etiquette', 'NN')
('attracted', 'VBD')
('attention', 'NN')
('?', '.')
("''", "''")
('``', '``')
('I', 'PRP')
('know', 'VBP')
('little', 'JJ')
('politics', 'NNS')
('less', 'RBR')
('court', 'NN')
(',', ',')
('sire', 'NN')
