('WHY', 'WRB')
('BRAHMANS', 'NNS')
('CAN', 'MD')
('NOT', 'NNP')
('EAT', 'NNP')
('IN', 'NNP')
('THE', 'NNP')
('DARK', 'NNP')
('Among', 'IN')
('Hindus', 'NNP')
(',', ',')
('especially', 'RB')
('among', 'IN')
('Brahmans', 'NNPS')
('Madras', 'NNP')
('Presidency', 'NNP')
('--', ':')
('I', 'PRP')
('see', 'VBP')
('personal', 'JJ')
('observation', 'NN')
('Bombay', 'NNP')
('Presidency', 'NNP')
('also', 'RB')
('--', ':')
('custom', 'NN')
(',', ',')
('taking', 'VBG')
('meals', 'NNS')
(',', ',')
('leaving', 'VBG')
('food', 'NN')
('uneaten', 'JJ')
('happens', 'VBZ')
('cause', 'NN')
('light', 'JJ')
('blown', 'NN')
('.', '.')
('Of', 'IN')
('course', 'NN')
('could', 'MD')
('occur', 'VB')
('night-time', 'JJ')
('.', '.')
('Such', 'JJ')
('mishaps', 'NNS')
('now-a-days', 'NNS')
('take', 'VBP')
('place', 'NN')
('poor', 'JJ')
('families', 'NNS')
(',', ',')
('sitting', 'VBG')
('supper', 'JJ')
('single', 'JJ')
('light', 'NN')
('.', '.')
('Hence', 'NNP')
('following', 'VBG')
('story', 'NN')
(',', ',')
('told', 'VBD')
('origin', 'NN')
('custom', 'NN')
(',', ',')
('beginning', 'VBG')
('forgotten', 'NNS')
('.', '.')
('It', 'PRP')
('runs', 'VBZ')
('follows', 'VBZ')
(':', ':')
('--', ':')
('In', 'IN')
('certain', 'JJ')
('village', 'NN')
('lived', 'VBD')
('Brahman', 'NNP')
('daughter', 'NN')
('.', '.')
('She', 'PRP')
('deeply', 'RB')
('read', 'VBD')
('Sanskrit', 'NNP')
(',', ',')
('charming', 'VBG')
('beauty', 'NN')
('.', '.')
('He', 'PRP')
('procured', 'VBD')
('husband', 'NN')
('deeply', 'RB')
('read', 'JJ')
('.', '.')
('The', 'DT')
('betrothal', 'NN')
('already', 'RB')
('taken', 'VBN')
('place', 'NN')
(';', ':')
('muhurta', 'CC')
('auspicious', 'JJ')
('time', 'NN')
('marriage', 'NN')
('fixed', 'VBN')
('tenth', 'JJ')
('ghatika', 'FW')
('night', 'NN')
('.', '.')
('On', 'IN')
('evening', 'VBG')
('son-in-law', 'NN')
('went', 'VBD')
('tank', 'JJ')
('perform', 'NN')
('Sandhya', 'NNP')
('vandana', 'NN')
('evening', 'VBG')
('prayers', 'NNS')
('.', '.')
('It', 'PRP')
('swarmed', 'VBD')
('crocodiles', 'NNS')
('.', '.')
('People', 'NNS')
('never', 'RB')
('went', 'VBD')
('near', 'IN')
('.', '.')
('The', 'DT')
('son-in-law', 'NN')
(',', ',')
('quite', 'RB')
('new', 'JJ')
('village', 'NN')
(',', ',')
('entered', 'VBD')
('tank', 'NN')
('without', 'IN')
('knowing', 'VBG')
('anything', 'NN')
('danger', 'NN')
('.', '.')
('Unfortunately', 'RB')
(',', ',')
('none', 'NN')
('near', 'IN')
('warn', 'NN')
('.', '.')
('He', 'PRP')
('set', 'VBD')
('foot', 'JJ')
('water', 'NN')
('crocodile', 'NN')
('caught', 'VBD')
('leg', 'NNS')
(',', ',')
('began', 'VBD')
('drag', 'JJ')
('water', 'NN')
('.', '.')
('That', 'DT')
('night', 'NN')
('fixed', 'VBN')
('nuptials', 'NNS')
(',', ',')
('crocodile', 'NN')
('taking', 'VBG')
('feast', 'JJ')
('flesh', 'NN')
('.', '.')
('He', 'PRP')
('extremely', 'RB')
('horrified', 'VBD')
('position', 'NN')
(',', ',')
('said', 'VBD')
('humbly', 'RB')
('enemy', 'NN')
(',', ',')
("''", "''")
('My', 'PRP$')
('friend', 'NN')
('crocodile', 'NN')
('!', '.')
('Listen', 'NNP')
('words', 'NNS')
('first', 'RB')
(',', ',')
('decide', 'NN')
('.', '.')
('A', 'DT')
('wife', 'NN')
(',', ',')
('daughter', 'NN')
('old', 'JJ')
('Brahman', 'NNP')
(',', ',')
('waiting', 'VBG')
('to-night', 'NN')
('.', '.')
('If', 'IN')
('eat', 'NN')
(',', ',')
('take', 'VB')
('away', 'RP')
('without', 'IN')
('seeing', 'VBG')
(',', ',')
('father-in-law', 'NN')
(',', ',')
('relatives', 'NNS')
('.', '.')
('Their', 'PRP$')
('hearts', 'NNS')
('may', 'MD')
('break', 'VB')
('news', 'NN')
('death', 'NN')
('day', 'NN')
('wedding', 'NN')
('.', '.')
('They', 'PRP')
('may', 'MD')
('curse', 'VB')
('.', '.')
('If', 'IN')
(',', ',')
('contrary', 'JJ')
(',', ',')
('leave', 'VBP')
(',', ',')
('I', 'PRP')
('shall', 'MD')
('go', 'VB')
('home', 'NN')
(',', ',')
('speak', 'JJ')
('wife', 'NN')
('others', 'NNS')
('sad', 'JJ')
('calamity', 'NN')
('come', 'NN')
(',', ',')
('embracing', 'VBG')
('taking', 'VBG')
('leave', 'JJ')
('come', 'VBN')
('supper', 'JJ')
('fifteenth', 'JJ')
('ghatika', 'NN')
('.', '.')
('Till', 'NNP')
('leave', 'VBP')
('.', '.')
("''", "''")
('The', 'DT')
('cruel', 'NN')
('crocodile', 'NN')
(',', ',')
('though', 'IN')
('fond', 'JJ')
('human', 'JJ')
('flesh', 'NN')
(',', ',')
('dying', 'VBG')
('hunger', 'NN')
(',', ',')
('spared', 'VBD')
('ghatikas', 'NN')
('humble', 'JJ')
('request', 'NN')
('.', '.')
('After', 'IN')
('extracting', 'VBG')
('several', 'JJ')
('oaths', 'NNS')
('would', 'MD')
('return', 'VB')
('accordance', 'NN')
('promise', 'NN')
(',', ',')
('crocodile', 'JJ')
('went', 'VBD')
('water', 'NN')
('.', '.')
('The', 'DT')
('son-in-law', 'NN')
('also', 'RB')
('went', 'VBD')
('home', 'NN')
('.', '.')
('All', 'DT')
('joy', 'NN')
('vanished', 'VBD')
(';', ':')
('could', 'MD')
('happy', 'VB')
('promise', 'NN')
('crocodile', 'NN')
('.', '.')
('Still', 'RB')
(',', ',')
('give', 'VB')
('uneasiness', 'NN')
('aged', 'VBN')
('parents', 'NNS')
('wife', 'NN')
(',', ',')
('underwent', 'JJ')
('ceremonies', 'NNS')
('marriage', 'NN')
('.', '.')
('Only', 'RB')
('five', 'CD')
('ghatikas', 'NNS')
('remained', 'VBD')
('live', 'JJ')
('world', 'NN')
(',', ',')
('thought', 'VBN')
('.', '.')
('He', 'PRP')
(',', ',')
('words', 'NNS')
(',', ',')
('explained', 'VBD')
('everything', 'NN')
('wife', 'NN')
(',', ',')
('asked', 'VBD')
('permission', 'NN')
('leave', 'NN')
('.', '.')
('She', 'PRP')
('showed', 'VBD')
('sign', 'NN')
('sorrow', 'NN')
(',', ',')
('preached', 'VBD')
('iron', 'NN')
('hand', 'NN')
('fate', 'NN')
(',', ',')
('must', 'MD')
('undergo', 'VB')
('written', 'VBN')
('forehead', 'NN')
('.', '.')
('She', 'PRP')
('willingly', 'RB')
('gave', 'VBD')
('permission', 'NN')
('go', 'NN')
(',', ',')
('returned', 'VBD')
('tank', 'RP')
('even', 'RB')
('ghatika', 'FW')
('earlier', 'JJR')
(',', ',')
('called', 'VBN')
('crocodile', 'NN')
(',', ',')
('came', 'VBD')
('seized', 'VBN')
('.', '.')
('At', 'IN')
('moment', 'NN')
('certain', 'JJ')
('light', 'NN')
('glittered', 'VBD')
('eyes', 'NNS')
('crocodile', 'NN')
('vanished', 'VBD')
('.', '.')
('It', 'PRP')
('woman', 'NN')
('.', '.')
('The', 'DT')
('wife', 'NN')
(',', ',')
('consoling', 'VBG')
('husband', 'NN')
(',', ',')
('preaching', 'VBG')
('supremacy', 'NN')
('fate', 'NN')
(',', ',')
('accompanied', 'VBN')
('unobserved', 'JJ')
('lighted', 'VBD')
('lamp', 'NN')
('concealed', 'VBN')
('vessel', 'NN')
('.', '.')
('Just', 'RB')
('crocodile', 'NN')
('applied', 'VBD')
('teeth', 'JJ')
('leg', 'NN')
('husband', 'NN')
(',', ',')
('took', 'VBD')
('lamp', 'NN')
(',', ',')
('flashed', 'VBD')
("crocodile's", 'JJ')
('eyes', 'NNS')
(',', ',')
('quenched', 'VBD')
('.', '.')
('Nor', 'CC')
('without', 'IN')
('intended', 'JJ')
('effect', 'NN')
('.', '.')
('The', 'DT')
('crocodile', 'NN')
('left', 'VBD')
('husband', 'NN')
(',', ',')
('said', 'VBD')
(',', ',')
('``', '``')
('You', 'PRP')
('better', 'JJR')
('go', 'VBP')
(';', ':')
('I', 'PRP')
('never', 'RB')
('touch', 'VBP')
('seeing', 'VBG')
('lamp', 'NN')
('extinguished', 'VBD')
('I', 'PRP')
('began', 'VBD')
('meal', 'JJ')
('to-day', 'JJ')
('.', '.')
("''", "''")
('The', 'DT')
('husband', 'NN')
('astonished', 'VBD')
('device', 'JJ')
('wife', 'NN')
(',', ',')
('still', 'RB')
('faithful', 'JJ')
('observance', 'NN')
('rule', 'NN')
('unreasonable', 'JJ')
('beast', 'NN')
('.', '.')
('From', 'IN')
('day', 'NN')
('fixed', 'VBN')
('men', 'NNS')
(',', ',')
('still', 'RB')
('reasonable', 'JJ')
(',', ',')
('never', 'RB')
('eat', 'NN')
('lamp', 'JJ')
('blown', 'NN')
('.', '.')
('Another', 'DT')
('story', 'NN')
('told', 'VBD')
('.', '.')
('In', 'IN')
('remote', 'JJ')
('village', 'NN')
('lived', 'VBD')
('poor', 'JJ')
('woman', 'NN')
(',', ',')
('laboured', 'VBD')
('morning', 'NN')
('till', 'NN')
('night', 'NN')
('different', 'JJ')
('houses', 'NNS')
(',', ',')
('returned', 'VBN')
('hut', 'CD')
('two', 'CD')
('measures', 'NNS')
('rice', 'NN')
('.', '.')
('That', 'DT')
('quantity', 'NN')
('would', 'MD')
('serve', 'VB')
('ten', 'JJ')
('ordinary', 'JJ')
('persons', 'NNS')
('.', '.')
('Being', 'VBG')
('extremely', 'RB')
('poor', 'JJ')
(',', ',')
('used', 'VBD')
('keep', 'VB')
('lamp', 'NN')
(',', ',')
('cook', 'VB')
('rice', 'NN')
('dark', 'NN')
(',', ',')
('guided', 'VBD')
('light', 'JJ')
('fire', 'NN')
('.', '.')
('When', 'WRB')
('sat', 'JJ')
('meal', 'NN')
('even', 'RB')
('light', 'JJ')
('fire', 'NN')
('faded', 'VBD')
(';', ':')
('eat', 'NN')
('dark', 'NN')
('.', '.')
('Though', 'IN')
('used', 'VBN')
('full', 'JJ')
('two', 'CD')
('measures', 'NNS')
('rice', 'VBP')
('brought', 'VBN')
('away', 'RP')
('every', 'DT')
('day', 'NN')
(',', ',')
('hunger', 'NN')
('never', 'RB')
('satisfied', 'VBD')
(';', ':')
('always', 'RB')
('extreme', 'VBP')
('want', 'VBP')
('.', '.')
('Now', 'RB')
('happened', 'VBN')
('younger', 'JJR')
('sister', 'NN')
(',', ',')
('somewhat', 'RB')
('richer', 'JJR')
('.', '.')
('The', 'DT')
('younger', 'JJR')
('came', 'VBD')
('see', 'VB')
('elder', 'JJ')
('sister', 'NN')
('.', '.')
('The', 'DT')
('former', 'JJ')
('never', 'RB')
('used', 'VBN')
('without', 'IN')
('light', 'JJ')
(',', ',')
('asked', 'JJ')
('sister', 'NN')
('buy', 'VB')
('oil', 'NN')
('night', 'NN')
('light', 'NN')
('lamp', 'NN')
('.', '.')
('The', 'DT')
('elder', 'NN')
('compelled', 'VBD')
('necessity', 'NN')
(';', ':')
(',', ',')
('devoted', 'VBN')
('portion', 'NN')
('two', 'CD')
('measures', 'NNS')
('rice', 'NN')
(',', ',')
('returned', 'VBD')
('home', 'RB')
('great', 'JJ')
('uneasiness', 'JJ')
('perplexity', 'NN')
('mind', 'NN')
('less', 'RBR')
('two', 'CD')
('measures', 'NNS')
('would', 'MD')
('furnish', 'VB')
('supper', 'JJR')
('night', 'NN')
(',', ',')
('full', 'JJ')
('two', 'CD')
('measures', 'NNS')
('found', 'VBD')
('insufficient', 'JJ')
('former', 'JJ')
('occasions', 'NNS')
('alone', 'RB')
('.', '.')
('The', 'DT')
('lamp', 'NN')
('set', 'VBN')
('first', 'JJ')
('time', 'NN')
('house', 'NN')
(',', ',')
('cooked', 'VBD')
('remaining', 'VBG')
('rice', 'NN')
('.', '.')
('The', 'DT')
('younger', 'JJR')
('sister', 'NN')
('astonished', 'VBD')
('see', 'VBP')
('using', 'VBG')
('much', 'JJ')
('two', 'CD')
('.', '.')
('The', 'DT')
('elder', 'NN')
(',', ',')
('thinking', 'VBG')
('within', 'IN')
('younger', 'JJR')
('would', 'MD')
('soon', 'RB')
('see', 'VB')
('mistake', 'NN')
(',', ',')
('cooked', 'VBD')
('everything', 'NN')
('.', '.')
('Two', 'CD')
('leaves', 'NNS')
('spread', 'VBP')
(',', ',')
('sat', 'JJ')
('supper', 'NN')
('.', '.')
